learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Pool Size
31000.0,12.15625,0.15625,6400.0,1.40625,711.1111111111111,0.0,30000.0,4.907901781834005,-3768.992248061992,-37.54995177070414,31000.0,0.0,25.0
32000.0,12.515625,0.234375,4266.666666666667,1.171875,853.3333333333334,0.0,31000.0,6.475868822073419,-3733.699633699612,-33.5289614697627,32000.0,0.0,25.0
33000.0,12.828125,0.078125,12800.0,1.171875,853.3333333333334,0.0,32000.0,13.82414027963817,-3748.7544483985935,-22.786103542234347,33000.0,0.0,25.0
34000.0,13.21875,0.234375,4266.666666666667,1.25,800.0,0.0,33000.0,16.477722379405837,-3718.2119205298095,-19.319122516556305,34000.0,0.0,25.0
35000.0,13.59375,0.15625,6400.0,1.171875,853.3333333333334,0.0,34000.0,16.772148921988602,-3590.8536585365696,-19.93263324747374,35000.0,0.0,25.0
36000.0,13.859375,0.15625,6400.0,0.859375,1163.6363636363637,0.0,35000.0,14.884533245862706,-3777.5147928994274,-27.440684558537516,36000.0,0.0,25.0
37000.0,14.21875,0.15625,6400.0,1.09375,914.2857142857143,0.0,36000.0,14.804569791059238,-3769.767441860471,-26.90181124880837,37000.0,0.0,25.0
38000.0,14.515625,0.234375,4266.666666666667,0.9375,1066.6666666666667,0.0,37000.0,14.770045668163101,-3735.795454545467,-26.42322097378275,38000.0,0.0,25.0
39000.0,14.78125,0.15625,6400.0,0.703125,1422.2222222222222,0.0,38000.0,15.026207248972126,-3759.0909090909,-27.19101123595506,39000.0,0.0,25.0
40000.0,15.109375,0.234375,4266.666666666667,0.9375,1066.6666666666667,0.0,39000.0,15.52885378230761,-3759.0909090908885,-27.19101123595506,40000.0,0.0,25.0
41000.0,15.484375,0.078125,12800.0,1.40625,711.1111111111111,0.0,40000.0,14.910037771119264,-3816.480446927368,-26.122155257713413,41000.0,0.0,25.0
42000.0,15.8125,0.15625,6400.0,0.859375,1163.6363636363637,0.0,41000.0,14.109071944173825,-3945.552560646897,-30.85440278988665,42000.0,0.0,25.0
43000.0,16.078125,0.234375,4266.666666666667,0.703125,1422.2222222222222,0.0,42000.0,14.603207343952848,-3915.4255319149024,-30.470100241963376,43000.0,0.0,25.0
44000.0,16.421875,0.078125,12800.0,1.09375,914.2857142857143,0.0,43000.0,15.04763828642284,-3915.425531914899,-30.47010024196335,44000.0,0.0,25.0
45000.0,16.828125,0.234375,4266.666666666667,1.40625,711.1111111111111,0.0,44000.0,15.001558937689275,-3913.3858267716605,-29.970250743731423,45000.0,0.0,25.0
46000.0,17.140625,0.234375,4266.666666666667,0.9375,1066.6666666666667,0.0,45000.0,14.887021675365514,-3907.216494845372,-29.588264710785133,46000.0,0.0,25.0
47000.0,17.4375,0.15625,6400.0,0.859375,1163.6363636363637,0.0,46000.0,13.30713907703189,-4112.820512820487,-34.1772151898734,47000.0,0.0,25.0
48000.0,17.875,0.15625,6400.0,1.40625,711.1111111111111,0.0,47000.0,11.54287834971267,-4330.769230769215,-41.11882400979989,48000.0,0.0,25.0
49000.0,18.21875,0.234375,4266.666666666667,1.09375,914.2857142857143,0.0,48000.0,11.96444193032884,-4330.769230769203,-41.1188240097999,49000.0,0.0,25.0
50000.0,18.671875,0.0,Infinity,1.875,533.3333333333334,0.0,49000.0,12.15706166576149,-4308.883248730949,-40.8154993514916,50000.0,0.0,25.0
51000.0,19.046875,0.15625,6400.0,1.171875,853.3333333333334,0.0,50000.0,11.539150427793334,-4276.039119804419,-39.143279172821224,51000.0,0.0,25.0
52000.0,19.328125,0.234375,4266.666666666667,0.78125,1280.0,0.0,51000.0,11.667796382558963,-4292.009685230009,-40.29700672905871,52000.0,0.0,25.0
53000.0,19.765625,0.234375,4266.666666666667,1.40625,711.1111111111111,0.0,52000.0,11.232332557430876,-4274.764150943383,-39.05840017992353,53000.0,0.0,25.0
learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Pool Size
2000.0,0.375,0.3125,3200.0,1.40625,711.1111111111111,0.0,1000.0,0.0,-2299.9999999999977,0.0,2000.0,0.0,10.0
3000.0,0.6875,0.15625,6400.0,0.703125,1422.2222222222222,0.0,2000.0,0.0,-2109.9999999999977,0.0,3000.0,0.0,15.0
4000.0,1.09375,0.15625,6400.0,1.171875,853.3333333333334,0.0,3000.0,2.9961495128764675,-2167.741935483865,-7.164634146341461,4000.0,0.0,20.0
5000.0,1.640625,0.234375,4266.666666666667,1.953125,512.0,0.0,4000.0,6.036157700866508,-2167.741935483877,-7.164634146341488,5000.0,0.0,25.0
6000.0,1.953125,0.234375,4266.666666666667,0.859375,1163.6363636363637,0.0,5000.0,7.770390516959392,-2167.741935483877,-7.16463414634148,6000.0,0.0,25.0
7000.0,2.4375,0.234375,4266.666666666667,1.5625,640.0,0.0,6000.0,8.891413922960115,-2167.7419354838767,-7.164634146341435,7000.0,0.0,25.0
8000.0,2.953125,0.15625,6400.0,1.796875,556.5217391304348,0.0,7000.0,8.464472981494914,-2222.7272727272666,-6.532314107018779,8000.0,0.0,25.0
9000.0,3.46875,0.234375,4266.666666666667,1.796875,556.5217391304348,0.0,8000.0,5.0480636984127605,-2494.0476190476306,-4.508393285371717,9000.0,0.0,25.0
10000.0,3.859375,0.15625,6400.0,1.25,800.0,0.0,9000.0,5.721483680506099,-2509.803921568634,-3.25833979829328,10000.0,0.0,25.0
11000.0,4.28125,0.15625,6400.0,1.328125,752.9411764705883,0.0,10000.0,10.090393164693225,-2831.451612903234,-13.063763608087104,11000.0,0.0,25.0
12000.0,4.671875,0.234375,4266.666666666667,1.25,800.0,0.0,11000.0,6.099597387288466,-3212.686567164179,-27.08273690237617,12000.0,0.0,25.0
13000.0,5.0625,0.078125,12800.0,1.171875,853.3333333333334,0.0,12000.0,7.473172193937806,-3220.149253731346,-27.36902376180933,13000.0,0.0,25.0
14000.0,5.484375,0.234375,4266.666666666667,1.40625,711.1111111111111,0.0,13000.0,8.688064554192906,-3220.1492537313293,-27.36902376180934,14000.0,0.0,25.0
15000.0,5.921875,0.3125,3200.0,1.328125,752.9411764705883,0.0,14000.0,8.461739730743188,-3140.97222222224,-25.761250336836426,15000.0,0.0,25.0
16000.0,6.28125,0.234375,4266.666666666667,1.09375,914.2857142857143,0.0,15000.0,8.062667274606165,-3179.054054054046,-28.081287938770107,16000.0,0.0,25.0
17000.0,6.71875,0.234375,4266.666666666667,1.5625,640.0,0.0,16000.0,6.523498967091217,-3100.5988023952136,-24.854006073347346,17000.0,0.0,25.0
